ID;NOMBRE;PRECIO;DESCRIPCION;CARPETA;CARACTERISTICA1;CARACTERISTICA2;CARACTERISTICA3;CARACTERISTICA4
1;AARAU;97;DUCHA NEGRO MATE;duchas-1;CABEZA DE 20CM X 20 CM;ACERO INOXIDABLE;TUBO DE 40CM CUADRADO;51104110
2;ALLSCHWIL;85;DUCHA CROMADO BRILLANTE;duchas-2;CABEZA DE 20CM X 20 CM;ACERO INOXIDABLE;TUBO DE 40CM CUADRADO;51104111
3;BULLE;78;DUCHA NEGRO MATE;duchas-3;CABEZA DE 20CM REDONDO;ACERO INOXIDABLE;TUBO DE 40CM X 90° REDONDO;51104112
4;HORGEN;70;DUCHA CROMADO BRILLANTE;duchas-4;CABEZA DE 20CM REDONDO;ACERO INOXIDABLE;TUBO DE 40CM X 90° REDONDO;51104113
5;NYON;57;DUCHA CROMADO BRILLANTE;duchas-5;CABEZA DE 20CM REDONDO;ABS CROMADO;TUBO DE 40CM X 90° REDONDO;51104107
6;REINACH;57;DUCHA CROMADO BRILLANTE;duchas-6;CABEZA DE 20CM X 20 CM;ABS CROMADO;TUBO DE 40CM X 90° REDONDO;51104103
7;VEVEY;25;DUCHA NEGRO MATE;duchas-7;CABEZA DE 10CM REDONDO;ABS NEGRO MATE;TUBO DE 15 CM;55100239
8;KLOTEN;495;COLUMNA DE DUCHA;duchas-8;5 SALIDAS DE AGUA;ACERO INOXIDABLE;CON DUCHA TELEFONO;56100119
9;WIL;;;;;;;
10;BADEN;;;;;;;
11;GOSSAU;;;;;;;
12;ONEX;;;;;;;
13;BÜLACH;;;;;;;
14;VOLKETSWIL;;;;;;;
15;BELLINZONA;;;;;;;
16;MUTTENZ;;;;;;;
17;THALWIL;;;;;;;
18;PULLY;;;;;;;
19;OLTEN;;;;;;;
20;REGENSDORF;;;;;;;
21;MONTHEY;;;;;;;
22;SCHLIEREN;;;;;;;
23;;;;;;;;
24;;;;;;;;
